id,wod,category
0,"2024 crossfit open workout #1


open 24.1
for time:
21 dumbbell snatches (arm 1) (50/35 lb)
21 lateral burpees over dumbbell
21 dumbbell snatches (arm 2) (50/35 lb)
21 lateral burpees over dumbbell
15 dumbbell snatches (arm 1) (50/35 lb)
15 lateral burpees over dumbbell
15 dumbbell snatches(arm 2) (50/35 lb)
15 lateral burpees over dumbbell
9 dumbbell snatches (arm 1) (50/35 lb)
9 lateral burpees over dumbbell
9 dumbbell snatches (arm 2) (50/35 lb)
9 lateral burpees over dumbbell

time cap: 15 minutes",for_time
1,"2024 crossfit open workout #2


open 24.2
amrap in 20 minutes of:
300 meter row
10 deadlifts (185/125 lb)
50 double-unders",amrap
2,"2024 crossfit open workout #3


open 24.3
for time

5 rounds of:
10 thrusters (95/65 lb)
10 chest-to-bar pull-ups

1 minute rest, then:

5 rounds of:
7 thrusters (135/95 lb)
7 bar muscle-ups

time cap: 15 minutes",for_time
3,"2021 crossfit games open workout #3 & #4


open 21.3 & 21.4
""open 21.3""
for time
15 front squats (95/65 lb)
30 toes-to-bars
15 thrusters (95/65 lb)

rest 1 minute

15 front squats (95/65 lb)
30 chest-to-bar pull-ups
15 thrusters (95/65 lb)

rest 1 minute

15 front squats (95/65 lb)
30 bar muscle-ups
15 thrusters (95/65 lb)

time cap: 15 minutes

""open 21.4""
move immediately to complete the following complex for max load:

1 deadlift
1 clean
1 hang clean
1 jerk

time cap: 7 minutes",other
4,"crossfit ""girl"" benchmark wod


fran
21-15-9 reps for time
thrusters (95/65 lb)
pull-ups",for_time
5,"crossfit hero wod


dt
5 rounds for time
12 deadlifts (155/105 lb)
9 hang power cleans (155/105 lb)
6 push jerks (155/105 lb)",for_time
6,"crossfit benchmark ""girl"" wod


cindy
amrap in 20 minutes
5 pull-ups
10 push-ups
15 air squats",amrap
7,"crossfit hero wod


murph
for time
1 mile run
100 pull-ups
200 push-ups
300 air squats
1 mile run

wear a weight vest (20/14 lb)

partition the pull-ups, push-ups, and air squats as needed",for_time
8,"crossfit benchmark wod


bear complex
5 rounds for load
complete 7 unbroken sets of this barbell complex:
1 power clean
1 front squat
1 push press
1 back squat
1 push press",for_load
9,"2022 crossfit open workout #3


open 22.3
for time
21 pull-ups
42 double-unders
21 thrusters (95/65 lb)
18 chest-to-bar pull-ups
36 double-unders
18 thrusters (115/75 lb)
15 bar muscle-ups
30 double-unders
15 thrusters (135/85 lb)

time cap: 12 minutes",for_time
10,"crossfit benchmark wod


nasty girls
3 rounds for time
50 air squats
7 muscle-ups
10 hang power cleans (135/95 lb)",for_time
11,"save hours of programming
coach's best friend.
endless workout ideas.
advanced filters.
find the wod you want.
go beastmode


crossfit ""girl"" benchmark wod


grace
for time
30 clean-and-jerks (135/95 lb)",for_time
12,"tribute wod for alice elderton

alice
4 rounds (with a partner) for time
300 meter run (together)
30 power cleans (30 kg)
30 burpees
30 calorie air bike
30 air squats
30 alternating lunges
30 calories air bike
30 deadlifts (30 kg)
30 ball slams (9/6 kg)
30 calorie air bike

buy-out: 300 abmat sit-ups",for_time
13,"2014 crossfit games open wod


open 14.5
21-18-15-12-9-6-3 reps, for time
thrusters (95/65 lb)
bar facing burpees",for_time
14,"2022 crossfit open workout #2


open 22.2
for time
1-2-3-4-5-6-7-8-9-10-9-8-7-6-5-4-3-2-1 reps of:
deadlifts (225/155 lb)
bar-facing burpees

time cap: 10 minutes",for_time
15,"2020 crossfit open wod #1


open 20.1
10 rounds for time
8 ground-to-overheads (95/65 lb)
10 bar facing burpees

time cap: 15 minutes",for_time
16,"2012 crossfit games open wod


open 12.1
amrap in 7 minutes
burpees to a target (6"")",amrap
17,"2023 crossfit open workout #3


open 23.3
starting with a 6-minute time cap, complete as many reps as possible of:

5 wall walks
50 double-unders
15 snatches (95/65 lb)
5 wall walks
50 double-unders
12 snatches (135/95 lb)

*if completed before the 6-minute time cap, add 3 minutes to the time cap and complete:

20 strict handstand push-ups
50 double-unders
9 snatches (185/125 lb)

*if completed before the 9-minute time cap, add 3 minutes to the time cap and complete:

20 strict handstand push-ups
50 double-unders
6 snatches (225/155 lb)",amrap
18,"2017 crossfit games open wod


open 17.1
for time
10 dumbbell snatches (50/35 lb)
15 burpee box jump overs
20 dumbbell snatches (50/35 lb)
15 burpee box jump overs
30 dumbbell snatches (50/35 lb)
15 burpee box jump overs
40 dumbbell snatches (50/35 lb)
15 burpee box jump overs
50 dumbbell snatches (50/35 lb)
15 burpee box jump overs

time cap: 20 minutes",for_time
19,"crossfit dc hero wod


zachary tellier
for time
10 burpees

10 burpees
25 push-ups

10 burpees
25 push-ups
50 lunges

10 burpees
25 push-ups
50 lunges
100 sit-ups

10 burpees
25 push-ups
50 lunges
100 sit-ups
150 air squats",for_time
20,"2023 crossfit games open workout #2


open 23.2
on a 20-minute clock:

""23.2 a""
amrap in 15 minutes
5 burpee pull-ups*
10 shuttle runs (25 ft out, 25 ft back)

*add 5 additional burpee pull-ups after each round

directly into:
""23.2 b""
5 minutes to establish:
1 rep max thruster",other
21,"crossfit benchmark/tribute wod


the chief
five 3-minute amraps in 19 minutes

amrap in 3 minutes
3 power cleans (135/95 lbs)
6 push-ups
9 air squats

1 minute rest after each 3-minute amrap

repeat 5 times total",amrap
22,"get our fitness tips emails
subscribe for occasional
fitness stories, tips, and
featured workouts from
wodwell's creators:
lisa & jeremy
join the list


2019 crossfit games open workout #1


open 19.1
amrap in 15 minutes
19 wall ball shots (20/14 lb, 10/9 ft)
19 calorie row",amrap
23,"2023 crossfit games open workout #1 (""open 14.4"" repeat)


open 23.1
amrap in 14 minutes
60 calorie row
50 toes-to-bars
40 wall ball shots (20/14 lb)
30 cleans (135/95 lb)
20 muscle-ups",amrap
24,"the system benchmark wod


mikko’s triangle
emom for 39 minutes
1 minute row
1 minute skierg
1 minute assault bike
1 minute rest

set a single number of calories and complete that amount of work each minute - every minute.",emom
25,"john welbourn

kalsu
for time
100 thrusters (135/95 lb)

5 burpees to start and at the top of every minute",for_time
26,"crossfit benchmark wod


fight gone bad
3 rounds for total reps in 17 minutes
1 minute wall ball shots (20/14 lb)
1 minute sumo deadlift high-pulls (75/55 lb)
1 minute box jumps (20 in)
1 minute push press (75/55 lb)
1 minute row (calories)
1 minute rest",other
27,"2021 crossfit open workout #1


open 21.1
for time
1-3-6-9-15-21 wall walks
10-30-60-90-150-210 double-unders

time cap: 15 minutes",for_time
28,"2022 crossfit games open workout #1


open 22.1
amrap in 15 minutes
3 wall walks
12 dumbbell snatches (50/35 lb)
15 box jump overs",amrap
29,"crossfit ""girl"" benchmark wod (aka: ""3 bars of death"")


linda
10-9-8-7-6-5-4-3-2-1 reps, for time
deadlift (1½ bodyweight)
bench press (bodyweight)
clean (¾ bodyweight)",for_time
30,"crossfit benchmark wod


filthy fifty
for time
50 box jumps (24/20 in)
50 jumping pull-ups
50 kettlebell swings (1/.75 pood)
50 walking lunge steps
50 knees-to-elbows
50 push presses (45/35 lb)
50 back extensions
50 wall ball shots (20/14 lb)
50 burpees
50 double-unders",for_time
31,"2014 crossfit games open wod


open 14.2
for as long as possible
from 0:00-3:00, 2 rounds of:
10 overhead squats (95/65 lb)
10 chest-to-bar pull-ups

from 3:00-6:00, 2 rounds of:
12 overhead squats (95/65 lb)
12 chest-to-bar pull-ups

from 6:00-9:00, 2 rounds of:
14 overhead squats (95/65 lb)
14 chest-to-bar pull-ups

follow the pattern until you fail to complete both rounds.",other
32,"2011 crossfit games open wod


open 11.1
amrap in 10 minutes
30 double-unders
15 power snatches (75/55 lb)",amrap
33,"crossfit ""girl"" benchmark wod


karen
for time
150 wall ball shots (20/14 lb, 10/9 ft)",for_time
34,"2014 crossfit games open wod


open 14.3
amrap in 8 minutes
10 deadlifts (135/95 lb)
15 box jumps (24/20 in)
15 deadlifts (185/135 lb)
15 box jumps (24/20 in)
20 deadlifts (225/155 lb)
15 box jumps (24/20 in)
25 deadlifts (275/185 lb)
15 box jumps (24/20 in)
30 deadlifts (315/205 lb)
15 box jumps (24/20 in)
35 deadlifts (365/225 lb)
15 box jumps (24/20 in)",amrap
35,"2015 crossfit games open wod


open 15.5
27-21-15-9 reps for time
row (calories)
thrusters (95/65 lb)",for_time
36,"2018 crossfit games open wod


open 18.1
amrap in 20 minutes
8 toes-to-bars
10 dumbbell hang clean-and-jerks (50/35 lb)
14/12 calorie row",amrap
37,"crossfit benchmark wod


helen
3 rounds for time
400 meter run
21 kettlebell swings (1.5/1 pood)
12 pull-ups",for_time
38,"2016 crossfit games open wod


open 16.5
21-18-15-12-9-6-3 reps for time
thrusters (95/65 lb)
bar facing burpees",for_time
39,"2015 crossfit games open wod


open 15.1 & 15.1a
two parts in 15 minutes
(15.1) amrap in 9 minutes
15 toes-to-bars
10 deadlifts (115/75 lb)
5 snatches (115/75 lb)

then (""15.1a""), from 9:00-15:00
1-rep-max clean-and-jerk",other
40,"2020 crossfit open wod #4


open 20.4
for time
30 box jumps (24/20 in)
15 clean-and-jerks (95/65 lb)
30 box jumps (24/20 in)
15 clean-and-jerks (135/85 lb)
30 box jumps (24/20 in)
10 clean-and-jerks (185/115 lb)
30 single-leg squats
10 clean-and-jerks (225/145 lb)
30 single-leg squats
5 clean-and-jerks (275/175 lb)
30 single-leg squats
5 clean-and-jerks (315/205 lb)

time cap: 20 minutes",for_time
41,"2020 crossfit open wod #2


open 20.2
amrap in 20 minutes
4 dumbbell thrusters (2x50/35 lb)
6 toes-to-bar
24 double-unders",amrap
42,"crossfit ""girl"" benchmark wod


annie
50-40-30-20-10 reps for time
double-unders
sit-ups",for_time
43,"memorial wod for chad wilkinson (aka: ""chad1000x"")


chad
for time
1,000 box step-ups (20 in)

wear a ruck pack (45/35 lb)",for_time
